	Classifiers_combination	f1_score
237	['SVC_LIN', 'CAT', 'LGBM_RF']	0.8612536566017154
238	['SVC_LIN', 'CAT', 'XGB']	0.8526951275308087
239	['SVC_LIN', 'CAT', 'XGB_RF']	0.8587201215927504
240	['SVC_LIN', 'CAT', 'LR']	0.8627026267427929
241	['SVC_LIN', 'LGBM', 'LGBM_RF']	0.8491688272075644
242	['SVC_LIN', 'LGBM', 'XGB']	0.8400459158088832
243	['SVC_LIN', 'LGBM', 'XGB_RF']	0.8586183901652777
244	['SVC_LIN', 'LGBM', 'LR']	0.8545339569772894
245	['SVC_LIN', 'LGBM_RF', 'XGB']	0.8446629990167525
246	['SVC_LIN', 'LGBM_RF', 'XGB_RF']	0.853939092715336
247	['SVC_LIN', 'LGBM_RF', 'LR']	0.8584486311451281
248	['SVC_LIN', 'XGB', 'XGB_RF']	0.853949856084979
249	['SVC_LIN', 'XGB', 'LR']	0.8518399178107781
250	['SVC_LIN', 'XGB_RF', 'LR']	0.8533284114679464
251	['SVC_RBF', 'CAT', 'LGBM']	0.8216064853491755
252	['SVC_RBF', 'CAT', 'LGBM_RF']	0.850609756097561
253	['SVC_RBF', 'CAT', 'XGB']	0.8360284701748117
254	['SVC_RBF', 'CAT', 'XGB_RF']	0.8540365528927619
255	['SVC_RBF', 'CAT', 'LR']	0.862267005567659
256	['SVC_RBF', 'LGBM', 'LGBM_RF']	0.8155609822276487
257	['SVC_RBF', 'LGBM', 'XGB']	0.8249446027223805
258	['SVC_RBF', 'LGBM', 'XGB_RF']	0.8443819053575151
259	['SVC_RBF', 'LGBM', 'LR']	0.845717712478875
260	['SVC_RBF', 'LGBM_RF', 'XGB']	0.8382633096488519
261	['SVC_RBF', 'LGBM_RF', 'XGB_RF']	0.8495098039215687
262	['SVC_RBF', 'LGBM_RF', 'LR']	0.8510288065843622
263	['SVC_RBF', 'XGB', 'XGB_RF']	0.8388589730053143
264	['SVC_RBF', 'XGB', 'LR']	0.8441585514756248
265	['SVC_RBF', 'XGB_RF', 'LR']	0.8634319073595559
266	['CAT', 'LGBM', 'LGBM_RF']	0.8384098085995104
267	['CAT', 'LGBM', 'XGB']	0.8478954409797262
268	['CAT', 'LGBM', 'XGB_RF']	0.8482384823848239
269	['CAT', 'LGBM', 'LR']	0.8575741091949798
270	['CAT', 'LGBM_RF', 'XGB']	0.8380318868123746
271	['CAT', 'LGBM_RF', 'XGB_RF']	0.8434078193114338
272	['CAT', 'LGBM_RF', 'LR']	0.8564193008637453
273	['CAT', 'XGB', 'XGB_RF']	0.8482384823848239
274	['CAT', 'XGB', 'LR']	0.8559954102122777
275	['CAT', 'XGB_RF', 'LR']	0.8556470629641361
276	['LGBM', 'LGBM_RF', 'XGB']	0.8385458474837914
277	['LGBM', 'LGBM_RF', 'XGB_RF']	0.8290756568534347
278	['LGBM', 'LGBM_RF', 'LR']	0.8575741091949798
279	['LGBM', 'XGB', 'XGB_RF']	0.8304157661829784
280	['LGBM', 'XGB', 'LR']	0.8432783577718571
281	['LGBM', 'XGB_RF', 'LR']	0.8586183901652777
282	['LGBM_RF', 'XGB', 'XGB_RF']	0.8366389707853122
283	['LGBM_RF', 'XGB', 'LR']	0.8559954102122777
284	['LGBM_RF', 'XGB_RF', 'LR']	0.8479245311452187
285	['XGB', 'XGB_RF', 'LR']	0.8490813069126322
286	['DT', 'RF', 'ETC', 'KNN']	0.8295424010690139
287	['DT', 'RF', 'ETC', 'SVC_LIN']	0.851610644257703
288	['DT', 'RF', 'ETC', 'SVC_RBF']	0.8061978671734767
289	['DT', 'RF', 'ETC', 'CAT']	0.8333333333333334
290	['DT', 'RF', 'ETC', 'LGBM']	0.8434959349593495
291	['DT', 'RF', 'ETC', 'LGBM_RF']	0.8342111660319261
292	['DT', 'RF', 'ETC', 'XGB']	0.8267673163353445
293	['DT', 'RF', 'ETC', 'XGB_RF']	0.8421047468393237
294	['DT', 'RF', 'ETC', 'LR']	0.8500192878737586
295	['DT', 'RF', 'KNN', 'SVC_LIN']	0.8405500184569953
296	['DT', 'RF', 'KNN', 'SVC_RBF']	0.8035007034549508
297	['DT', 'RF', 'KNN', 'CAT']	0.8325977904291157
298	['DT', 'RF', 'KNN', 'LGBM']	0.8280940991505386
299	['DT', 'RF', 'KNN', 'LGBM_RF']	0.8280940991505386
300	['DT', 'RF', 'KNN', 'XGB']	0.8263498019595582
301	['DT', 'RF', 'KNN', 'XGB_RF']	0.8249386200914449
302	['DT', 'RF', 'KNN', 'LR']	0.836996336996337
303	['DT', 'RF', 'SVC_LIN', 'SVC_RBF']	0.8338217338217339
304	['DT', 'RF', 'SVC_LIN', 'CAT']	0.8583142092178235
305	['DT', 'RF', 'SVC_LIN', 'LGBM']	0.8535673737747856
306	['DT', 'RF', 'SVC_LIN', 'LGBM_RF']	0.8583142092178235
307	['DT', 'RF', 'SVC_LIN', 'XGB']	0.8504118947156921
308	['DT', 'RF', 'SVC_LIN', 'XGB_RF']	0.8600645321419708
309	['DT', 'RF', 'SVC_LIN', 'LR']	0.8349439775910362
310	['DT', 'RF', 'SVC_RBF', 'CAT']	0.830953582937127
311	['DT', 'RF', 'SVC_RBF', 'LGBM']	0.8360284701748117
312	['DT', 'RF', 'SVC_RBF', 'LGBM_RF']	0.8261466920312831
313	['DT', 'RF', 'SVC_RBF', 'XGB']	0.8289331910440221
314	['DT', 'RF', 'SVC_RBF', 'XGB_RF']	0.8194596568090544
315	['DT', 'RF', 'SVC_RBF', 'LR']	0.8362787539258129
316	['DT', 'RF', 'CAT', 'LGBM']	0.8430656423603823
317	['DT', 'RF', 'CAT', 'LGBM_RF']	0.83687129470262
318	['DT', 'RF', 'CAT', 'XGB']	0.8393052730402127
319	['DT', 'RF', 'CAT', 'XGB_RF']	0.8466105750301356
320	['DT', 'RF', 'CAT', 'LR']	0.8534165698799846
321	['DT', 'RF', 'LGBM', 'LGBM_RF']	0.8530232039268183
322	['DT', 'RF', 'LGBM', 'XGB']	0.8271452381224803
323	['DT', 'RF', 'LGBM', 'XGB_RF']	0.8356146103400945
324	['DT', 'RF', 'LGBM', 'LR']	0.8523618282654427
325	['DT', 'RF', 'LGBM_RF', 'XGB']	0.8312731445261566
326	['DT', 'RF', 'LGBM_RF', 'XGB_RF']	0.8405688961244516
327	['DT', 'RF', 'LGBM_RF', 'LR']	0.8547661233167965
328	['DT', 'RF', 'XGB', 'XGB_RF']	0.8332082910396164
329	['DT', 'RF', 'XGB', 'LR']	0.8455110375195781
330	['DT', 'RF', 'XGB_RF', 'LR']	0.8449285887194383
